type,name,latitude,longitude,city
heliport,Condell Medical Center Heliport,42.274600982666,-87.9572982788086,Libertyville
small_airport,Jmj Landing Airport,39.2221984863281,-96.0552978515625,St Marys
heliport,St Claire Healthcare Heliport,38.181441,-83.443319,Morehead
heliport,Boone National Guard Heliport,38.1833992004395,-84.89990234375,Frankfort
heliport,La State Police Troop G Heliport,32.5312995910645,-93.6602020263672,Bossier City
heliport,Windy Hill Heliport,30.1483001708984,-91.9189987182617,Broussard
heliport,Cuttyhunk Heliport,41.4196014404297,-70.927001953125,Gosnold
small_airport,Garner Field,38.672544,-76.709739,Brandywine
small_airport,Nadeau's Airfield,43.5373,-70.929397,Acton
small_airport,Fairplains Airpark,43.1571006774902,-85.1484985351562,Greenville
small_airport,Greenbush Municipal Airport,48.6833000183106,-96.1920013427734,Greenbush
small_airport,Troy Airpark,39.0499992370605,-91.0335006713867,Troy
small_airport,Watts Field,34.1001014709473,-90.8468017578125,Rochdale
closed,Barrett Field,47.2374,-111.74304,Cascade
closed,Timber Line Airpark,36.654233,-93.797418,Cassville
heliport,Race City Heliport,35.541111,-80.597778,Landis
small_airport,Benes Service Airport,41.0745010375977,-96.9045028686523,Valparaiso
seaplane_base,Iroquois Landing Seaplane Base,44.6571006774902,-71.2191009521484,Dummer
heliport,Penske Heliport,40.557300567627,-74.4671020507812,Piscataway
small_airport,Paiute Meadows Airport,41.3032989501953,-118.597999572754,Winnemucca
heliport,Hansen Heliport,43.1325988769531,-75.6555023193359,Durhamville
small_airport,Zimmerman Airport,41.3763999938965,-83.0832977294922,Fremont
small_airport,Murtha Airport,41.8019981384277,-80.5653991699219,Conneaut
closed,Canon Heliport,35.458401,-97.525297,Oklahoma City
small_airport,Rowena Dell Airport,45.6814994812012,-121.31600189209,The Dalles
heliport,Stottle Memorial Heliport,40.403596,-77.556602,Honey Grove
heliport,Lag Iii Heliport,40.4383010864258,-79.7699966430664,Monroeville
heliport,Peco Berwyn Heliport,40.0695991516113,-75.4552001953125,Berwyn
small_airport,Cuylers Airport,18.4533004760742,-66.3668975830078,Vega Baja
small_airport,Hughes Ultralightport,41.9006004333496,-77.2303009033203,Tioga
small_airport,Harpers Airport,32.7584991455078,-81.2248001098633,Estill
small_airport,Wise River Airport,45.769100189209,-112.982002258301,Wise River
heliport,Matagorda Shore Facility Heliport,28.721399307251,-95.8738021850586,Matagorda
heliport,Baylor Medical Center Heliport,32.3954010009766,-96.8641967773437,Waxahachie
small_airport,Ellis Field,35.7806015014648,-86.5841979980469,Murfreesboro
closed,FWOMC Heliport,32.747601,-97.370003,Fort Worth
small_airport,The Palms At Kitty Hawk Airport,33.3704032898,-101.92288208,New Home
small_airport,Lucin Airport,41.3662986755371,-113.843002319336,Lucin
small_airport,The Greenhouse Airport,38.4356994628906,-77.8572006225586,Culpeper
heliport,Northstar Aviation Heliport,36.638801574707,-82.11669921875,Bristol
small_airport,Cawleys South Prairie Airport,47.1523017883301,-122.09400177002,South Prairie
small_airport,Beer Airport,45.0318984985352,-92.6557998657227,Hudson
small_airport,Fowler Field,48.7458000183105,-119.319000244141,Tonasket
small_airport,JLS Farms Airport,33.591319,-95.882864,Honey Grove
small_airport,Seidel Ranch Airport,30.1476993560791,-97.6628036499023,Elroy
heliport,Trapper T Heliport,61.556055,-149.284527,Palmer
seaplane_base,Joe Clouds Seaplane Base,60.727222442627,-151.132781982422,Kenai
heliport,Highland Medical Center Heliport,34.662604,-86.046774,Scottsboro
heliport,Hscmh Heliport,34.3576011657715,-92.7884979248047,Malvern
small_airport,Thompson International Aviation Airport,31.4333992004395,-110.083999633789,Hereford
heliport,Grossmont Hospital Heliport,32.779484,-117.006952,La Mesa
small_airport,Kugel-Strong Airport,40.2125015259,-104.744003296,Platteville
small_airport,Lake Persimmon Airstrip,27.353099822998,-81.4080963134766,Lake Placid
closed,Tharpe Airport,30.8288,-85.731003,Bonifay
heliport,Ranger Heliport,26.6837005615234,-80.1873016357422,West Palm Beach
